category	cputime	memory	repetition	status	task	variant	walltime
correct	0.073603731	26050560.0	03	false(unreach-call)	pthread/lazy01.yml	baseline	0.08223204297246411
error	60.980534945	26112000.0	03	TIMEOUT	pthread-deagle/circular_buffer_ok.yml	baseline	61.0143719179905
correct	0.095962424	26103808.0	03	true	pthread-atomic/szymanski.yml	baseline	0.10253930499311537
correct	0.074379987	26054656.0	03	true	pthread-atomic/dekker.yml	baseline	0.08055561198852956
correct	0.068369451	26087424.0	03	true	pthread-atomic/dekker-unfair.yml	baseline	0.0768269129912369
correct	0.073282264	26091520.0	03	false(unreach-call)	pthread-theta/unwind3-1.yml	baseline	0.08293296297779307
correct	0.071619891	26083328.0	03	true	pthread-theta/exponential-nondet.yml	baseline	0.08335172501392663
correct	0.074856371	26083328.0	03	false(unreach-call)	pthread-theta/unwind2-1.yml	baseline	0.08020401303656399
correct	0.066855831	26087424.0	03	false(unreach-call)	pthread-theta/unwind2-100.yml	baseline	0.0765552879893221
correct	51.386510537	26169344.0	03	true	pthread/butterfly.yml	baseline	51.41695850196993
correct	0.068355781	25927680.0	03	true	pthread-ext/43_NetBSD_sysmon_power_sliced.yml	baseline	0.07693711697356775
error	27.866994847	3999997952.0	03	OUT OF MEMORY	goblint-regression/28-race_reach_06-cond_racing1.yml	baseline	27.888668018975295
correct	0.130158538	26144768.0	03	true	pthread/queue_ok.yml	baseline	0.13861466600792482
correct	42.755490488	1069813760.0	03	true	pthread/queue_ok_longer.yml	baseline	42.78861903003417
error	61.039313585	2628919296.0	03	TIMEOUT	pthread/queue_ok_longest.yml	baseline	61.068651289038826
error	60.987468554	103907328.0	03	TIMEOUT	pthread/queue_longer.yml	baseline	61.01877530501224
correct	3.057138089	26247168.0	03	false(unreach-call)	pthread/queue.yml	baseline	3.0735635140445083
correct	0.080196772	26329088.0	03	false(unreach-call)	pthread/singleton.yml	baseline	0.086659791006241
correct	0.083538906	26234880.0	03	true	pthread/singleton_with-uninit-problems.yml	baseline	0.10119451099308208
correct	0.16597401	26103808.0	03	false(unreach-call)	pthread-C-DAC/pthread-demo-datarace-3.yml	baseline	0.1815169770270586
correct	1.52307441	26243072.0	03	false(unreach-call)	pthread/reorder_2.yml	baseline	1.5362491100095212
correct	0.112950033	26341376.0	03	false(unreach-call)	pthread/twostage_3.yml	baseline	0.12328366900328547
correct	0.075152451	26296320.0	03	true	ldv-races/race-1_1-join.yml	baseline	0.09711310500279069
correct	0.074789597	26226688.0	03	false(unreach-call)	ldv-races/race-1_3-join.yml	baseline	0.08169566700235009
correct	0.072918249	26234880.0	03	false(unreach-call)	ldv-races/race-1_2-join.yml	baseline	0.0799164290074259
correct	0.076129349	26324992.0	03	true	ldv-races/race-4_1-thread_local_vars.yml	baseline	0.08221775898709893
correct	0.075457214	26361856.0	03	true	ldv-races/race-2_1-container_of.yml	baseline	0.08339614100987092
correct	0.070988046	26304512.0	03	true	ldv-races/race-3_1-container_of-global.yml	baseline	0.08172406896483153
correct	0.062834688	25948160.0	03	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	pruning	0.06883341399952769
correct	0.065808724	25878528.0	03	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	pruning	0.07100668898783624
correct	0.074532731	25882624.0	03	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	pruning	0.07946754299337044
correct	0.067660261	26013696.0	03	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	pruning	0.07253666204633191
correct	0.054628825	25948160.0	03	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	pruning	0.06258179899305105
correct	0.071624974	25985024.0	03	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	pruning	0.07833702996140346
correct	0.074198247	25972736.0	03	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	pruning	0.07971516100224108
correct	0.067357971	25964544.0	03	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	pruning	0.07135860895505175
correct	0.071324735	26017792.0	03	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	pruning	0.07813295599771664
correct	0.067193174	25952256.0	03	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	pruning	0.07147019502008334
correct	0.071664311	26042368.0	03	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	pruning	0.07627788401441649
correct	0.067181659	25985024.0	03	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	pruning	0.07256819901522249
correct	0.072834127	26058752.0	03	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	pruning	0.07727156102191657
correct	0.071891159	26042368.0	03	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	pruning	0.07630751997930929
correct	0.064858925	26013696.0	03	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	pruning	0.07181483402382582
correct	0.060837623	26038272.0	03	true	goblint-regression/13-privatized_18-first-reads_true.yml	pruning	0.06485456600785255
correct	0.06159539	26071040.0	03	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	pruning	0.06449351599439979
correct	0.067418044	26017792.0	03	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	pruning	0.08052250801119953
correct	0.060195198	26001408.0	03	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	pruning	0.07142351596849039
correct	0.060448827	26058752.0	03	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	pruning	0.06656874198233709
correct	0.07031223	26075136.0	03	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	pruning	0.08017965801991522
correct	0.072331038	26083328.0	03	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	pruning	0.08152695198077708
correct	0.069224041	26062848.0	03	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	pruning	0.0790098540019244
