case	mode	workers	status	elapsed_ns	gate	complete	blocked	reduced	fail_open	verdict_sha256	summary_sha256
correct/litmus/W+JW/variants/W+JW0.c	rvf	2	0	52054000	enabled	1	2	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	df0cf00d366439adfa815059d50f8828919805b19e32967c0477036a2548814e
correct/litmus/SB+assert/variants/SB+assert0.c	baseline	1	0	51300000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/SB+assert/variants/SB+assert0.c	rvf	1	0	50490000	native-fallback reason=non-atomic store instruction	3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/SB+assert/variants/SB+assert0.c	rvf	2	0	52303000	native-fallback reason=non-atomic store instruction	3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
wrong/safety/dekker_rlx/variants/dekker_rlx0.c	baseline	1	0	55701000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
wrong/safety/dekker_rlx/variants/dekker_rlx0.c	rvf	1	0	51858000	enabled	3	0	7	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
wrong/safety/dekker_rlx/variants/dekker_rlx0.c	rvf	2	0	51285000	enabled	3	0	7	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/RMWFix/variants/rmwfix0.c	baseline	1	0	50624000		4	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/RMWFix/variants/rmwfix0.c	rvf	1	0	49952000	native-fallback reason=atomic read-modify-write instruction	4	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/RMWFix/variants/rmwfix0.c	rvf	2	0	53802000	native-fallback reason=atomic read-modify-write instruction	4	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
