repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-15T22:15:50+00:00
02	28-51	0-23	0	0	2026-07-15T22:16:53+00:00
03	0-23	28-51	0	0	2026-07-15T22:17:56+00:00
04	28-51	0-23	0	0	2026-07-15T22:18:59+00:00
