task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-pso.perf.butterfly.yml.log	4424	4424	28808	28312	28808	28312
caat-pso.perf.circular_buffer_bad.yml.log	12880	12880	83168	81736	83168	81736
caat-pso.perf.dekker-unfair.yml.log	2552	2552	16744	16456	16744	16456
caat-pso.perf.dekker.yml.log	2552	2552	16744	16456	16744	16456
caat-pso.perf.exponential-nondet.yml.log	0	0	0	0	0	0
caat-pso.perf.lazy01.yml.log	2120	2120	13960	13720	13960	13720
caat-pso.perf.pthread-demo-datarace-3.yml.log	94480	94480	608632	598144	608632	598144
caat-pso.perf.queue.yml.log	59168	59168	381200	374632	381200	374632
caat-pso.perf.queue_ok.yml.log	218456	218456	1407320	1383064	1407320	1383064
caat-pso.perf.queue_ok_longer.yml.log	72879408	72879408	469650816	461553544	469650816	461553544
caat-pso.perf.race-1_1-join.yml.log	1184	1184	7928	7792	7928	7792
caat-pso.perf.race-1_2-join.yml.log	2048	2048	13496	13264	13496	13264
caat-pso.perf.race-1_3-join.yml.log	2048	2048	13496	13264	13496	13264
caat-pso.perf.race-2_1-container_of.yml.log	0	0	0	0	0	0
caat-pso.perf.race-3_1-container_of-global.yml.log	0	0	0	0	0	0
caat-pso.perf.race-4_1-thread_local_vars.yml.log	0	0	0	0	0	0
caat-pso.perf.reorder_2.yml.log	11872	11872	76672	75352	76672	75352
caat-pso.perf.singleton.yml.log	3416	3416	22312	21928	22312	21928
caat-pso.perf.singleton_with-uninit-problems.yml.log	3488	3488	22776	22384	22776	22384
caat-pso.perf.stateful01-1.yml.log	2624	2624	17208	16912	17208	16912
caat-pso.perf.stateful01-2.yml.log	2624	2624	17208	16912	17208	16912
caat-pso.perf.szymanski.yml.log	2264	2264	14888	14632	14888	14632
caat-pso.perf.time_var_mutex.yml.log	2408	2408	15816	15544	15816	15544
caat-pso.perf.triangular-2.yml.log	9856	9856	63680	62584	63680	62584
caat-pso.perf.twostage_3.yml.log	14608	14608	94304	92680	94304	92680
caat-pso.perf.unwind2-1.yml.log	1328	1328	8856	8704	8856	8704
caat-pso.perf.unwind2-100.yml.log	1328	1328	8856	8704	8856	8704
caat-pso.perf.unwind3-1.yml.log	1328	1328	8856	8704	8856	8704
caat-sc.perf.01b_inc.yml.log	0	0	0	0	0	0
caat-sc.perf.02_inc_cas.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_01-priv_nr_true.yml.log	1024	1024	3472	3336	3472	3336
caat-sc.perf.13-privatized_18-first-reads_true.yml.log	768	768	2640	2536	2640	2536
caat-sc.perf.13-privatized_18-first-reads_unknown_1_neg.yml.log	512	512	1808	1736	1808	1736
caat-sc.perf.13-privatized_18-first-reads_unknown_2_pos.yml.log	512	512	1808	1736	1808	1736
caat-sc.perf.13-privatized_19-publish-precision_true.yml.log	1152	1152	3888	3736	3888	3736
caat-sc.perf.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_19-publish-precision_unknown_1_pos.yml.log	832	832	2848	2736	2848	2736
caat-sc.perf.13-privatized_19-publish-precision_unknown_2_neg.yml.log	832	832	2848	2736	2848	2736
caat-sc.perf.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_20-publish-regression_true.yml.log	768	768	2640	2536	2640	2536
caat-sc.perf.13-privatized_24-multiple-protecting_true.yml.log	3328	3328	10960	10536	10960	10536
caat-sc.perf.13-privatized_25-struct_nr_true.yml.log	1024	1024	3472	3336	3472	3336
caat-sc.perf.13-privatized_27-multiple-protecting2_true.yml.log	3904	3904	12832	12336	12832	12336
caat-sc.perf.13-privatized_29-multiple-protecting2-vesal_true.yml.log	1984	1984	6592	6336	6592	6336
caat-sc.perf.13-privatized_30-traces-oplus-vs-meet_true.yml.log	1344	1344	4512	4336	4512	4336
caat-sc.perf.13-privatized_31-traces-mine-vs-mutex_true.yml.log	1600	1600	5344	5136	5344	5136
caat-sc.perf.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	1920	1920	6384	6136	6384	6136
caat-sc.perf.13-privatized_33-traces-v-matters_true.yml.log	1216	1216	4096	3936	4096	3936
caat-sc.perf.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	896	896	3056	2936	3056	2936
caat-sc.perf.13-privatized_35-traces-ex-2_true.yml.log	1280	1280	4304	4136	4304	4136
caat-sc.perf.13-privatized_36-traces-ex-3_true.yml.log	1152	1152	3888	3736	3888	3736
caat-sc.perf.13-privatized_37-traces-ex-4_true.yml.log	960	960	3264	3136	3264	3136
caat-sc.perf.13-privatized_38-traces-ex-4-switch_true.yml.log	1280	1280	4304	4136	4304	4136
caat-sc.perf.13-privatized_40-traces-ex-6_true.yml.log	896	896	3056	2936	3056	2936
caat-sc.perf.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	832	832	2848	2736	2848	2736
caat-sc.perf.13-privatized_42-traces-ex-mini_true.yml.log	1216	1216	4096	3936	4096	3936
caat-sc.perf.13-privatized_44-traces-mine2_true.yml.log	832	832	2848	2736	2848	2736
caat-sc.perf.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	1280	1280	4304	4136	4304	4136
caat-sc.perf.13-privatized_46-refine-protected1_true.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_47-refine-protected2_true.yml.log	768	768	2640	2536	2640	2536
caat-sc.perf.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	0	0	0	0	0	0
caat-sc.perf.13-privatized_69-refine-protected-loop-interval_true.yml.log	0	0	0	0	0	0
caat-sc.perf.14_spin2003.yml.log	0	0	0	0	0	0
caat-sc.perf.28-race_reach_21-deref_read_racing.yml.log	0	0	0	0	0	0
caat-sc.perf.28-race_reach_45-escape_racing.yml.log	1216	1216	4096	3936	4096	3936
caat-sc.perf.28-race_reach_46-escape_racefree.yml.log	1088	1088	3680	3536	3680	3536
caat-sc.perf.29_conditionals_vs.yml.log	0	0	0	0	0	0
caat-sc.perf.36-apron_11-traces-max-simple_true.yml.log	768	768	2640	2536	2640	2536
caat-sc.perf.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0
caat-sc.perf.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-sc.perf.36-apron_21-traces-cluster-based_true.yml.log	2240	2240	7424	7136	7424	7136
caat-sc.perf.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	0	0	0	0	0
caat-sc.perf.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0
caat-sc.perf.43_NetBSD_sysmon_power_sliced.yml.log	0	0	0	0	0	0
