metric	group	tasks	geomean_ratio	ci_low	ci_high	median_ratio	sign_p	holm_p
cpu	all	82	0.9958406085317754	0.9895690448316871	1.0013140183469398	0.998733731991473	0.5811144541766469	1.0
cpu	sc	90	0.9980475480947841	0.983927147155723	1.0085136586787065	1.0067756571126092	0.02630166513112228	0.07890499539336684
cpu	tso	89	0.9973422952518342	0.9909045996252059	1.0032734801724337	1.0007729973394814	1.0	1.0
cpu	pso	82	0.9842459389952345	0.9744118372576966	0.9934909802499582	0.9914516447216888	0.00543592487756628	0.02174369951026512
wall	all	82	0.9957414778341013	0.9897996696860007	1.0006732488322339	0.9996992883153533	1.0	1.0
wall	sc	90	0.9966929556689069	0.9824171378010814	1.0071123331021763	1.0034072439419037	0.5984117182335187	1.0
wall	tso	89	0.9937555298680333	0.9880901106489468	0.9990846685299977	0.9938499285670936	0.05577832765373429	0.22311331061493717
wall	pso	82	0.9892744724753543	0.979365492776376	0.9988971847666087	0.9983016490108216	0.7406528413457828	1.0
memory	all	82	0.9995564357100853	0.9989132896872176	0.9999425440318389	0.9997786221852352	0.09703091129729906	0.37164752888218483
memory	sc	90	0.9991289794103622	0.9977584252799767	1.0000940614362792	1.0	1.0	1.0
memory	tso	89	0.9993609041697112	0.9986292645848177	0.9999137285440879	0.9999210671718368	0.5900356111485574	1.0
memory	pso	82	0.9995810719566036	0.9991902600216968	0.9999175246038222	0.9996869767994425	0.09291188222054621	0.37164752888218483
