backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.07	0.04	0.02	53477376	11	7
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.11	0.08	0.02	54525952	0	0
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.08	0.06	0.02	54460416	0	0
cat	pso	correct/litmus/SB/variants/sb0.c	7	0	0.05	0.03	0.01	52592640	4	0
caat	pso	correct/litmus/SB/variants/sb0.c	7	0	0.05	0.03	0.01	52477952	4	0
cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.05	0.03	0.01	52592640	4	0
caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.05	0.03	0.01	52658176	4	0
cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.06	0.04	0.01	53772288	2	6
caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.07	0.05	0.01	53788672	2	6
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.06	0.04	0.01	53477376	11	7
caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.08	0.05	0.01	53493760	11	7
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.08	0.05	0.01	54444032	0	0
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.10	0.07	0.02	54312960	0	0
caat	pso	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52527104	4	0
cat	pso	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52609024	4	0
caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52625408	4	0
cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52543488	4	0
caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.07	0.05	0.01	53673984	2	6
cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.04	0.01	53936128	2	6
caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.08	0.05	0.01	53510144	11	7
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.06	0.04	0.01	53493760	11	7
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.11	0.08	0.02	54411264	0	0
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.08	0.06	0.02	54427648	0	0
cat	pso	correct/litmus/SB/variants/sb0.c	9	0	0.05	0.03	0.01	52559872	4	0
caat	pso	correct/litmus/SB/variants/sb0.c	9	0	0.05	0.03	0.01	52625408	4	0
cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.05	0.03	0.01	52527104	4	0
caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.05	0.03	0.01	52822016	4	0
cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.06	0.04	0.01	53772288	2	6
caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.07	0.05	0.01	53723136	2	6
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.06	0.04	0.01	53477376	11	7
caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.08	0.06	0.01	53493760	11	7
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.08	0.06	0.01	54427648	0	0
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.10	0.08	0.01	54427648	0	0
caat	pso	correct/litmus/SB/variants/sb0.c	10	0	0.05	0.03	0.01	52609024	4	0
cat	pso	correct/litmus/SB/variants/sb0.c	10	0	0.05	0.03	0.01	52543488	4	0
caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0	0.05	0.03	0.01	52559872	4	0
cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0	0.05	0.03	0.01	52592640	4	0
caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0	0.07	0.05	0.01	53723136	2	6
cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0	0.06	0.04	0.01	53788672	2	6
caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0	0.08	0.05	0.01	53460992	11	7
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0	0.06	0.04	0.01	53559296	11	7
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	10	42	0.11	0.08	0.02	54509568	0	0
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	10	42	0.08	0.06	0.01	54509568	0	0
