tool			Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)
run set			deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/new-server/			status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
cbmc/sv-benchmarks/c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml	unreach-call	false					false(unreach-call)	1.234450912	1.2395270920242183	86.847488
cbmc/sv-benchmarks/c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	unreach-call	false					false(unreach-call)	1.760550358	1.7675502719939686	86.462464
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	unreach-call	true					TIMEOUT	11.011760549	11.00603837298695	139.374592
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true					true	5.325049082	5.3341694719856605	67.235840
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true					TIMEOUT	10.974263711	11.00745962804649	96.976896
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	unreach-call	true					TIMEOUT	11.011480344	11.00714668101864	188.227584
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true					TIMEOUT	11.009234052	11.011810353025794	141.107200
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	unreach-call	true					TIMEOUT	11.014833961	11.009882222977467	207.167488
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true					TIMEOUT	11.009151156	11.006481856049504	142.946304
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true					TIMEOUT	11.034591757	11.009054223017301	549.302272
cbmc/sv-benchmarks/c/weaver/test-semi1.wvr.yml	unreach-call	true					false(unreach-call)	0.19197557	0.1975046840379946	7.827456
cbmc/sv-benchmarks/c/weaver/popl20-figure1.wvr.yml	unreach-call	true					false(unreach-call)	0.54086276	0.5478230779990554	28.737536
cbmc/sv-benchmarks/c/weaver/test-easy11.wvr.yml	unreach-call	true					false(unreach-call)	0.14705057	0.15359814499970526	7.864320
cbmc/sv-benchmarks/c/weaver/bench-exp1x3.wvr.yml	unreach-call	true					TIMEOUT	10.960742195	11.009700032009277	134.803456
cbmc/sv-benchmarks/c/weaver/test-easy7.wvr.yml	unreach-call	true					true	0.364070992	0.3717310489737429	10.375168
cbmc/sv-benchmarks/c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	unreach-call	true					TIMEOUT	11.01983854	11.009396024048328	286.109696
cbmc/sv-benchmarks/c/weaver/test-easy1.wvr.yml	unreach-call	true					TIMEOUT	10.976862353	11.00907945400104	108.228608
cbmc/sv-benchmarks/c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	unreach-call	true					TIMEOUT	11.013166841	11.008030387980398	117.772288
cbmc/sv-benchmarks/c/weaver/popl20-figure1-alt.wvr.yml	unreach-call	true					false(unreach-call)	0.597380734	0.6024650399922393	32.145408
cbmc/sv-benchmarks/c/weaver/mult-comm.wvr.yml	unreach-call	true					TIMEOUT	11.00564096	11.00794565299293	89.952256
cbmc/sv-benchmarks/c/weaver/popl20-figure3.wvr.yml	unreach-call	true					false(unreach-call)	1.453401179	1.4603435770259239	41.697280
cbmc/sv-benchmarks/c/weaver/security.wvr.yml	unreach-call	true					true	0.263145229	0.26665212999796495	7.995392
cbmc/sv-benchmarks/c/weaver/test-easy8.wvr.yml	unreach-call	true					true	0.210114398	0.21907828899566084	7.905280
cbmc/sv-benchmarks/c/weaver/test-easy6.wvr.yml	unreach-call	true					true	0.752824209	0.760409148002509	9.826304
cbmc/sv-benchmarks/c/weaver/parallel-misc-2-unrolled.wvr.yml	unreach-call	true					false(unreach-call)	0.233777248	0.239656197023578	16.498688
cbmc/sv-benchmarks/c/weaver/popl20-nonblocking-cntr.wvr.yml	unreach-call	true					TIMEOUT	11.007169059	11.007839052996133	87.683072
cbmc/sv-benchmarks/c/weaver/parallel-simple-equiv.wvr.yml	unreach-call	true					false(unreach-call)	0.184724472	0.18764881003880873	10.268672
cbmc/sv-benchmarks/c/weaver/parallel-misc-3.wvr.yml	unreach-call	true					false(unreach-call)	1.273595249	1.282522900030017	81.829888
cbmc/sv-benchmarks/c/weaver/parallel-ticket-2.wvr.yml	unreach-call	true					false(unreach-call)	0.155493984	0.16450983099639416	8.937472
