model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,max_rf_same_value_class,realized_revisit_prefixes,rf_offered,rf_queued,rf_same_value_candidate_upper_bound,rf_same_value_choice_points,rf_value_choice_points,rf_value_classes,validity_queries,work_added,work_popped
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/parallel-parallel-sum-equiv.wvr.yml,true,correct,0.071270675,0.08251085004303604,25759744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/chl-name-comparator-symm.wvr.yml,true,correct,0.070652304,0.08038045302964747,25817088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/popl20-bad-ring-nondet.wvr.yml,true,correct,0.070653958,0.08065870800055563,25866240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/popl20-bad-buffer-mult-alt2.wvr.yml,OUT OF MEMORY,error,14.365884451,14.418970255064778,3999997952,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/popl20-more-buffer-mult3.wvr.yml,OUT OF MEMORY,error,14.515269333,14.543430501944385,3999997952,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/chl-node-trans.wvr.yml,true,correct,0.068370042,0.0833547170041129,25878528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/chl-node-subst.wvr.yml,true,correct,0.068791256,0.0795662309974432,25874432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/popl20-bad-buffer-mult-alt3.wvr.yml,OUT OF MEMORY,error,14.647106468,14.69023049401585,3999997952,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/popl20-more-buffer-series3.wvr.yml,true,wrong,0.066468365,0.0833608889952302,25886720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/popl20-commit-1.wvr.yml,true,correct,0.069040079,0.08253387699369341,25751552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
