category	cputime	executions	expected	memory	model	repetition	status	task	variant	walltime
correct	0.07505703		true	25812992.0	sc	01	true	pthread-ext/45_monabsex1_vs.yml	baseline	0.08415677596349269
correct	0.075264665		false	25849856.0	sc	01	false(unreach-call)	pthread/stateful01-1.yml	baseline	0.08547160099260509
correct	0.07589859		true	25903104.0	sc	01	true	pthread/stateful01-2.yml	baseline	0.08949186297832057
correct	0.071277466		true	25964544.0	sc	01	true	pthread-atomic/time_var_mutex.yml	baseline	0.08149942196905613
correct	0.070559211		true	25817088.0	sc	01	true	pthread-ext/01b_inc.yml	baseline	0.07825862703612074
correct	4.848497783		true	25841664.0	sc	01	true	pthread/triangular-1.yml	baseline	4.857243527017999
correct	1.25260549		false	25931776.0	sc	01	false(unreach-call)	pthread/triangular-2.yml	baseline	1.2643243839847855
correct	0.067061676		true	25772032.0	sc	01	true	pthread-ext/02_inc_cas.yml	baseline	0.07668462803121656
correct	2.961485177		false	56516608.0	sc	01	false(unreach-call)	goblint-regression/28-race_reach_21-deref_read_racing.yml	baseline	2.977497468004003
correct	0.071822452		true	25841664.0	sc	01	true	pthread-ext/48_ticket_lock_low_contention_vs.yml	baseline	0.08596186101203784
error	21.95343976		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_37-indirect_racing.yml	baseline	21.97303304297384
correct	0.072256995		false	25911296.0	sc	01	false(unreach-call)	goblint-regression/28-race_reach_45-escape_racing.yml	baseline	0.08076674002222717
correct	0.065164359		true	25792512.0	sc	01	true	goblint-regression/28-race_reach_46-escape_racefree.yml	baseline	0.0756814110209234
error	23.049416044		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_01-simple_racing.yml	baseline	23.06983873998979
error	23.251703329		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_11-ptr_racing.yml	baseline	23.273998156015296
correct	0.075269138		false	25985024.0	sc	01	false(unreach-call)	pthread-deagle/circular_buffer_bad.yml	baseline	0.08282417198643088
correct	4.015983357		true	25821184.0	sc	01	true	pthread/fib_safe-5.yml	baseline	4.025393245974556
correct	20.932884041		true	25935872.0	sc	01	true	pthread/fib_safe-6.yml	baseline	20.94929892802611
correct	1.171407868		false	25829376.0	sc	01	false(unreach-call)	pthread/fib_unsafe-5.yml	baseline	1.1765296750236303
correct	5.874630311		false	25903104.0	sc	01	false(unreach-call)	pthread/fib_unsafe-6.yml	baseline	5.887480937992223
correct	30.11878136		false	25862144.0	sc	01	false(unreach-call)	pthread/fib_unsafe-7.yml	baseline	30.143658363027498
error	23.936926961		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_24-sound_lock_racing.yml	baseline	23.973229982017074
correct	0.065350926		false	25927680.0	sc	01	false(unreach-call)	pthread/lazy01.yml	baseline	0.0740528559545055
correct	2.984197442		true	25948160.0	sc	01	true	pthread-deagle/circular_buffer_ok.yml	baseline	2.990469564043451
correct	0.072628028		true	25935872.0	sc	01	true	pthread-atomic/szymanski.yml	baseline	0.08447363204322755
correct	0.066839405		true	25882624.0	sc	01	true	pthread-atomic/dekker.yml	baseline	0.07334219798212871
correct	0.072299601		true	25849856.0	sc	01	true	pthread-atomic/dekker-unfair.yml	baseline	0.07757148501696065
correct	0.069322475		false	25821184.0	sc	01	false(unreach-call)	pthread-theta/unwind3-1.yml	baseline	0.08085551095427945
correct	0.06897636		true	25878528.0	sc	01	true	pthread-theta/exponential-nondet.yml	baseline	0.07776137802284211
correct	0.07367107		false	25911296.0	sc	01	false(unreach-call)	pthread-theta/unwind2-1.yml	baseline	0.07807224395219237
correct	0.069869056		false	25870336.0	sc	01	false(unreach-call)	pthread-theta/unwind2-100.yml	baseline	0.07685558299999684
