variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r02	twostage_3.yml	0	6440272	36104	101	138	57584	53706	1
after	pso	r02	unwind2-1.yml	0	75839	3656	18	6	108	95	1
after	pso	r02	unwind2-100.yml	0	78950	3656	18	6	108	95	1
after	pso	r02	unwind3-1.yml	0	87408	3656	18	6	192	168	1
after	pso	r03	01b_inc.yml	0	143776	4184	21	10	428	326	1
after	pso	r03	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_01-priv_nr_true.yml	0	280008	4360	22	20	896	696	1
after	pso	r03	13-privatized_18-first-reads_true.yml	0	296380	3304	16	20	420	363	1
after	pso	r03	13-privatized_18-first-reads_unknown_1_neg.yml	0	34690	1896	8	2	27	21	1
after	pso	r03	13-privatized_18-first-reads_unknown_2_pos.yml	0	35718	1896	8	2	27	21	1
after	pso	r03	13-privatized_19-publish-precision_true.yml	0	745779	4536	23	66	2735	2225	1
after	pso	r03	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_1_pos.yml	0	38514	2776	13	2	43	35	1
after	pso	r03	13-privatized_19-publish-precision_unknown_2_neg.yml	0	36769	2776	13	2	43	35	1
after	pso	r03	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_20-publish-regression_true.yml	0	476409	4712	24	36	1484	1197	1
after	pso	r03	13-privatized_24-multiple-protecting_true.yml	0	16827717	10520	57	852	109463	82703	1
after	pso	r03	13-privatized_25-struct_nr_true.yml	0	355731	4360	22	20	896	696	1
after	pso	r03	13-privatized_27-multiple-protecting2_true.yml	0	57380782	11224	61	3092	358521	274278	1
after	pso	r03	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2926249	6824	36	176	8032	6368	1
after	pso	r03	13-privatized_30-traces-oplus-vs-meet_true.yml	0	1063432	5064	26	60	2516	2089	1
