configuration	cores	status	finished
baseline	0-23,28-51	0	2026-07-17T14:07:54+00:00
control	0-23,28-51	0	2026-07-17T14:09:05+00:00
rvf	0-23,28-51	0	2026-07-17T14:10:15+00:00
tso	0-23,28-51	0	2026-07-17T14:11:25+00:00
pso-v9	0-23,28-51	0	2026-07-17T14:11:36+00:00
