variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	returnvalue	executions	lazy-cycle-checks	reasoner-calls	reasoner-ns	reasoner-table-slots	reasoner-derived-candidates	reasoner-composition-middles	provenance-materializations	provenance-materialization-ns	provenance-materialization-ops	nogood-learn-attempts	nogood-learned	nogood-match-queries	nogood-literal-checks	nogood-hits	nogood-maximum-bytes
baseline	sc	r01	48_ticket_lock_low_contention_vs-pthread.yml	true	correct	0.070136972	0.0740448459982872	25866240.0	0	0	0														
baseline	sc	r01	46_monabsex2_vs.yml	true	correct	0.066794008	0.0733493739971891	25784320.0	0	0	0														
baseline	sc	r01	45_monabsex1_vs.yml	true	correct	0.064140249	0.06742920400574803	25870336.0	0	0	0														
baseline	sc	r01	stateful01-1.yml	false(unreach-call)	correct	0.06544641	0.069656748091802	25960448.0	42	0	0														
baseline	sc	r01	stateful01-2.yml	true	correct	0.072539391	0.07720011891797185	25952256.0	0	6	0														
baseline	sc	r01	time_var_mutex.yml	true	correct	0.07288275	0.07999163400381804	25919488.0	0	2	0														
baseline	sc	r01	01b_inc.yml	true	correct	0.067817648	0.07613952609244734	25878528.0	0	0	0														
baseline	sc	r01	triangular-1.yml	true	correct	5.984615825	5.995347380056046	25956352.0	0	16632	0														
baseline	sc	r01	triangular-2.yml	false(unreach-call)	correct	1.471006371	1.4743015739368275	25858048.0	42	3638	0														
baseline	sc	r01	02_inc_cas.yml	true	correct	0.071610078	0.07664793310686946	25841664.0	0	0	0														
baseline	sc	r01	28-race_reach_21-deref_read_racing.yml	false(unreach-call)	correct	3.345018371	3.362040444975719	56700928.0	42	0	0														
baseline	sc	r01	48_ticket_lock_low_contention_vs.yml	true	correct	0.062912191	0.06949545198585838	25829376.0	0	0	0														
baseline	sc	r01	28-race_reach_37-indirect_racing.yml	false(unreach-call)	correct	12.089730189	12.11138876201585	2061086720.0	42	0	0														
baseline	sc	r01	28-race_reach_45-escape_racing.yml	false(unreach-call)	correct	0.068118042	0.07448542607016861	25808896.0	42	0	0														
baseline	sc	r01	28-race_reach_46-escape_racefree.yml	true	correct	0.066471412	0.07355960202403367	25812992.0	0	2	0														
baseline	sc	r01	28-race_reach_01-simple_racing.yml	false(unreach-call)	correct	12.11664983	12.14372649998404	2060976128.0	42	0	0														
baseline	sc	r01	28-race_reach_11-ptr_racing.yml	false(unreach-call)	correct	12.076738987	12.101166127016768	2060992512.0	42	0	0														
baseline	sc	r01	circular_buffer_bad.yml	false(unreach-call)	correct	0.073598662	0.08032190497033298	25968640.0	42	1	0														
baseline	sc	r01	fib_safe-5.yml	true	correct	3.561425105	3.5733733070082963	25882624.0	0	2772	0														
baseline	sc	r01	fib_safe-6.yml	true	correct	17.802178181	17.8455705139786	25829376.0	0	12012	0														
baseline	sc	r01	fib_unsafe-5.yml	false(unreach-call)	correct	0.965657988	0.9774326049955562	25903104.0	42	632	0														
baseline	sc	r01	fib_unsafe-6.yml	false(unreach-call)	correct	4.906669897	4.918087575002573	25862144.0	42	2942	0														
baseline	sc	r01	fib_unsafe-7.yml	false(unreach-call)	correct	24.014909262	24.052096250932664	25948160.0	42	13238	0														
baseline	sc	r01	28-race_reach_24-sound_lock_racing.yml	false(unreach-call)	correct	11.709674101	11.731764990952797	2060955648.0	42	0	0														
baseline	sc	r01	lazy01.yml	false(unreach-call)	correct	0.057920928	0.06500814901664853	25903104.0	42	1	0														
baseline	sc	r01	circular_buffer_ok.yml	true	correct	2.89042278	2.90232938202098	25894912.0	0	3432	0														
baseline	sc	r01	szymanski.yml	true	correct	0.062864945	0.07047876401338726	25862144.0	0	6	0														
baseline	sc	r01	dekker.yml	true	correct	0.062304806	0.0679409559816122	25837568.0	0	4	0														
baseline	sc	r01	dekker-unfair.yml	true	correct	0.063478152	0.07026639301329851	25825280.0	0	4	0														
baseline	sc	r01	unwind3-1.yml	false(unreach-call)	correct	0.063419601	0.07091414195019752	25956352.0	42	1	0														
baseline	sc	r01	exponential-nondet.yml	true	correct	0.067833386	0.07535927393473685	25919488.0	0	1	0														
baseline	sc	r01	unwind2-1.yml	false(unreach-call)	correct	0.065333143	0.07263495097868145	25915392.0	42	1	0														
baseline	sc	r01	unwind2-100.yml	false(unreach-call)	correct	0.064191954	0.0699464000063017	25890816.0	42	1	0														
baseline	sc	r01	butterfly.yml	true	correct	12.913672243	12.924113298999146	26042368.0	0	64560	0														
baseline	sc	r01	43_NetBSD_sysmon_power_sliced.yml	true	correct	0.061911666	0.06588072597514838	25747456.0	0	0	0														
baseline	sc	r01	28-race_reach_06-cond_racing1.yml	false(unreach-call)	correct	11.493025383	11.52113707899116	2061017088.0	42	0	0														
baseline	sc	r01	queue_ok.yml	true	correct	0.065368986	0.07188959501218051	26091520.0	0	2	0														
baseline	sc	r01	queue_ok_longer.yml	true	correct	0.429308364	0.43668851105030626	79360000.0	0	2	0														
baseline	sc	r01	queue_ok_longest.yml	true	correct	1.497634124	1.516113455989398	276955136.0	0	2	0														
baseline	sc	r01	queue_longer.yml	TIMEOUT	error	61.041052573	61.08034266694449	1159892992.0																	
baseline	sc	r01	queue.yml	false(unreach-call)	correct	0.086712732	0.09446788008790463	25993216.0	42	2	0														
baseline	sc	r01	singleton.yml	false(unreach-call)	correct	0.072800495	0.07978479494340718	26083328.0	42	1	0														
baseline	sc	r01	singleton_with-uninit-problems.yml	true	correct	0.070887243	0.07859565794933587	26083328.0	0	4	0														
baseline	sc	r01	pthread-demo-datarace-3.yml	false(unreach-call)	correct	0.118027751	0.12188592797610909	25825280.0	42	0	0														
baseline	sc	r01	reorder_2.yml	false(unreach-call)	correct	0.13006423	0.13695859594736248	25964544.0	42	162	0														
baseline	sc	r01	twostage_3.yml	false(unreach-call)	correct	0.075030763	0.08170474809594452	26140672.0	42	4	0														
baseline	sc	r01	race-1_1-join.yml	true	correct	0.063690639	0.07079683803021908	26095616.0	0	1	0														
