variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r01	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	25960448
after	pso	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26046464
after	pso	r01	36-apron_21-traces-cluster-based_true.yml	0	2637696	6648	35	172	1147	0	86	4614	7901	0	6	1	26107904
after	pso	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26116096
after	pso	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25980928
after	pso	r01	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26025984
after	pso	r01	45_monabsex1_vs.yml	0	125715	3304	16	8	31	0	4	80	80	0	0	1	25972736
after	pso	r01	46_monabsex2_vs.yml	0	231205	4184	21	18	66	0	9	187	187	0	0	1	25944064
after	pso	r01	48_ticket_lock_low_contention_vs-pthread.yml	0	46786	2600	12	2	3	0	1	15	15	0	0	1	26005504
after	pso	r01	48_ticket_lock_low_contention_vs.yml	0	134252	4888	25	8	57	0	4	236	236	0	0	1	26021888
after	pso	r01	butterfly.yml	0	12770177742	11224	61	694890	17811839	0	347445	51969143	103557285	0	64560	1	26214400
after	pso	r01	circular_buffer_bad.yml	0	9756924	31880	89	476	13886	0	238	21122	91047	0	1	1	26148864
after	pso	r01	circular_buffer_ok.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26087424
after	pso	r01	dekker-unfair.yml	0	859206	6648	35	74	464	0	37	2552	3866	0	4	1	26030080
after	pso	r01	dekker.yml	0	832615	6648	35	70	451	0	35	2446	3750	0	4	1	26132480
after	pso	r01	exponential-nondet.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26095616
after	pso	r01	fib_safe-5.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26103808
after	pso	r01	fib_safe-6.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26099712
after	pso	r01	fib_unsafe-5.yml	0	5312860287	171752	243	96526	3814084	0	48263	4599693	44479805	0	632	1	26128384
after	pso	r01	fib_unsafe-6.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26046464
after	pso	r01	fib_unsafe-7.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26124288
after	pso	r01	lazy01.yml	0	409551	5592	29	36	327	0	18	776	1452	0	1	1	26152960
after	pso	r01	pthread-demo-datarace-3.yml	0	30772169	231304	262	80	454000	0	40	55122	1628201	0	0	1	26091520
after	pso	r01	queue.yml	0	349951747	145000	205	5918	1480526	0	2959	379082	2682980	0	2	1	26169344
after	pso	r01	queue_longer.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	85274624
after	pso	r01	queue_ok.yml	0	8108423	534328	433	34	102809	0	17	4432	155806	0	2	1	26230784
after	pso	r01	queue_ok_longer.yml	128363066	3116844062	44133960	8033	34	49930426	0	1	25	28	16	2	1	120905728
after	pso	r01	queue_ok_longest.yml	488015698	16966561727	174022760	16033	34	203270101	16	1	25	28	16	2	1	478982144
after	pso	r01	race-1_1-join.yml	0	74565	3304	16	6	17	0	3	51	51	0	1	1	26218496
after	pso	r01	race-1_2-join.yml	0	312509	5416	28	26	333	0	13	684	1099	0	1	1	26214400
after	pso	r01	race-1_3-join.yml	0	305872	5416	28	26	333	0	13	684	1099	0	1	1	26214400
after	pso	r01	race-2_1-container_of.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26345472
