metric	group	tasks	geomean_ratio	ci_low	ci_high	median_ratio	sign_p	holm_p
cpu	all	80	1.008788391203002	1.004159164439692	1.0135746481199914	1.0077528945355692	0.0023245412880887038	0.006973623864266112
cpu	sc	90	0.997828954643059	0.9916571918335254	1.004093506650386	0.9980768144848701	0.46079247271897156	0.6286131597278741
cpu	tso	89	1.021491115077931	1.0127312067783703	1.030466759961509	1.015528178705122	1.611384920056498e-05	6.445539680225992e-05
cpu	pso	80	1.0061019978424377	0.9977610857243958	1.0148258452009715	1.0042324197162205	0.31430657986393706	0.6286131597278741
wall	all	80	1.0307598704266618	1.013531645629247	1.0499804238535453	1.0123661578564973	0.018316097516916315	0.05494829255074894
wall	sc	90	1.0146054463822867	0.9934632061121377	1.04040841855238	0.999365710886359	1.0	1.0
wall	tso	89	1.0464702039277356	1.0241059680532485	1.0696286088372258	1.0273219377323985	1.611384920056498e-05	6.445539680225992e-05
wall	pso	80	1.0259524583723645	0.9960462432758034	1.0617786273766805	1.0040800023419694	0.5764306261883931	1.0
memory	all	80	0.9999603144681366	0.9997583084192018	1.0001477395093092	0.9999465171094337	0.7375543089843226	1.0
memory	sc	90	0.99991181359981	0.9996247431063747	1.0001786711611131	0.9999481016040017	0.8322577540225787	1.0
memory	tso	89	0.9998585734399539	0.9994184328591715	1.0002143893642825	0.9999211045364892	0.38566942011927957	1.0
memory	pso	80	1.0002161084645043	0.9998968755092621	1.0005725270653918	1.0000781389263953	0.8221442424521855	1.0
