tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		cat-pso.r01.unreach-call	cat-pso.r01.unreach-call	cat-pso.r01.unreach-call	cat-pso.r01.unreach-call	caat-pso.r01.unreach-call	caat-pso.r01.unreach-call	caat-pso.r01.unreach-call	caat-pso.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/pso/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false	false(unreach-call)	0.046341	0.05840157996863127	26.202112	false(unreach-call)	0.046743	0.06460382812656462	26.226688
goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	0.048921	0.06403889390639961	26.210304	true	0.05618	0.07250162400305271	26.251264
goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	0.046921	0.06251733493991196	26.193920	true	0.047498	0.061790703097358346	26.230784
goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	0.047794	0.06102513801306486	26.218496	true	0.048447	0.07132408185862005	26.243072
goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	0.049319	0.059638774022459984	26.218496	true	0.055768	0.07864055503159761	26.259456
goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	0.04611	0.062189335003495216	26.198016	true	0.047782	0.05959469103254378	26.234880
goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	true	0.047111	0.062145226169377565	26.267648	true	0.046766	0.06253570783883333	26.300416
goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	0.048638	0.0630366241093725	26.238976	true	0.059213	0.07113968604244292	26.251264
goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	0.076356	0.09338189009577036	26.255360	true	0.184097	0.19746586098335683	26.296320
goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	true	0.051485	0.06672321306541562	26.263552	true	0.060201	0.07261559809558094	26.300416
goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	true	0.046622	0.07557024084962904	26.234880	true	0.047788	0.06314828805625439	26.263552
goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	0.166415	0.18512536794878542	26.300416	true	0.555108	0.5684285149909556	26.329088
pthread-ext/14_spin2003.yml	true	true	0.04536	0.056234225165098906	26.140672	true	0.044676	0.05912081804126501	26.173440
pthread-ext/29_conditionals_vs.yml	true	true	0.045766	0.06397265288978815	26.140672	true	0.045888	0.05968442093580961	26.173440
pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	true	true	0.045947	0.06653890502639115	26.181632	true	0.046346	0.06081018899567425	26.218496
